Year,Annual_Rain,Jun_Sep_Rain,Jun_Sep_Cloud,Jun_Sep_Wdf,Jun_Sep_Mtemp,Ann_Cloud,Ann_Wdf,Ann_Mtemp
1985,797.233,722.784,206.894,27.8186,103.255,386.917,36.1512,225.673
1986,422.085,323.613,199.919,20.5332,102.855,377.571,32.4444,218.484
1987,305.948,203.123,199.666,15.3923,111.901,380.846,27.1652,232.945
1988,852.942,793.63,211.458,27.7633,102.347,393.383,35.7638,228.885
1989,363.069,262.141,202.483,20.0177,103.625,397.764,29.6508,221.317
1990,743.63,647.665,214.721,26.4295,103.411,408.998,37.0853,223.23
1991,608.114,497.141,204.112,21.468,105.481,388.764,32.0386,222.272
1992,447.192,354.536,203.893,19.7753,103.154,388.509,28.9405,220.49
1993,749.364,708.978,203.893,28.0112,102.747,388.509,34.5933,222.846
1994,743.202,677.316,203.893,26.623,101.855,388.509,35.418,221.581
1995,798.782,697.935,203.893,25.3173,104.435,402.206,36.0521,223.28
1996,733.39,685.479,206.695,28.4345,100.654,365.615,36.508,219.145
1997,594.427,439.59,171.748,24.1838,101.109,399.086,36.7667,207.903
1998,709.784,602.042,205.659,24.1271,103.501,395.179,33.3513,221.045
1999,2343.241,276.976,188.447,20.9029,104.856,362.748,27.6344,228.119
2000,613.22,498.909,208.23,21.0382,101.554,394.628,30.6942,223.99
2001,583.204,473.774,181.886,21.5035,103.19,391.039,31.3988,224.346
2002,349.549,307.836,191.712,18.0614,104.192,409.723,25.7625,228.109
